,start,end
intensification,2023-03-02 00:00:00,2023-03-06 09:00:00
mature,2023-03-06 12:00:00,2023-03-07 12:00:00
decay,2023-03-07 15:00:00,2023-03-10 06:00:00
intensification 2,2023-03-10 09:00:00,2023-03-12 21:00:00
mature 2,2023-03-13 00:00:00,2023-03-14 03:00:00
decay 2,2023-03-14 06:00:00,2023-03-19 09:00:00
residual,2023-03-19 12:00:00,2023-03-20 21:00:00
