,start,end
incipient,2023-03-02 18:00:00,2023-03-03 12:00:00
intensification,2023-03-03 15:00:00,2023-03-06 06:00:00
mature,2023-03-06 09:00:00,2023-03-07 09:00:00
decay,2023-03-07 12:00:00,2023-03-19 21:00:00
