,start,end
incipient,2023-03-02 18:00:00,2023-03-04 03:00:00
intensification,2023-03-04 06:00:00,2023-03-06 18:00:00
mature,2023-03-06 21:00:00,2023-03-07 18:00:00
decay,2023-03-07 21:00:00,2023-03-18 03:00:00
residual,2023-03-18 06:00:00,2023-03-19 21:00:00
